ITEM_SEQ,DRUG_NAME,COMPANY,CLASS_NAME,ETC_OTC_NAME,FORM_CODE,DRUG_SHAPE,COLOR_CLASS1,PRINT_FRONT,PRINT_BACK,MARK_CODE,CHART,IMAGE_URL,EE_DOC,UD_DOC,NB_DOC
200808876,가스디알정50밀리그램(디메크로틴산마그네슘),일동제약(주),기타의 소화기관용약,ETC,당의정,원형,연두,IDG,,,녹색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300104,,,
200808877,페라트라정2.5밀리그램(레트로졸),(주)유한양행,항악성종양제,ETC,필름코팅정,원형,노랑,YH,LT,,어두운 황색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300107,,,
200808948,졸뎀속붕정(졸피뎀타르타르산염),보령제약(주),최면진정제,ETC,정제,원형,하양,,,,흰색의 원형 구강붕해정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300128,,,
200809076,가스프렌정(모사프리드시트르산염이수화물),경동제약(주),기타의 소화기관용약,ETC,필름코팅정,장방형,하양,KD,분할선,,분할선을 가진 흰색의 장방형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300143,,,
200809361,바르탄정(발사르탄),(주)휴온스,혈압강하제,ETC,필름코팅정,원형,분홍,V분할선T,HS8,,엷은 적색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300155,,,
200809402,리피논정80밀리그램(아토르바스타틴칼슘삼수화물),동아에스티(주),동맥경화용제,ETC,필름코팅정,타원형,하양,LPT,80,,이 약은 흰색의 타원형 필름코팅정이다.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300161,,,
200809710,사르발탄정160밀리그램(발사르탄),(주)서울제약,혈압강하제,ETC,필름코팅정,타원형,주황,SPC,V분할선16,,회색빛을 띠는 오렌지색의 타원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153432591328100009,,,
200809882,가스베트정5밀리그램(모사프리드시트르산염수화물),일동제약(주),기타의 소화기관용약,ETC,필름코팅정,장방형,하양,ID·5,분할선,,흰색의 장방형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500103,,,
200809883,아푸르탄정150밀리그램(이르베사르탄),동아에스티(주),혈압강하제,ETC,필름코팅정,타원형,하양,AT,150,,흰색 또는 거의 흰색의 양쪽이 볼록한 타원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300198,,,
200809909,발사르텔정80밀리그램(발사르탄),주식회사제뉴원사이언스,혈압강하제,ETC,필름코팅정,원형,분홍,V분할선8,KK,,분홍색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OCNrLiTjPI,,,
200809910,발사르텔정160밀리그램(발사르탄),주식회사제뉴원사이언스,혈압강하제,ETC,필름코팅정,타원형,주황,V분할선16,KK,,회색빛을 띠는 오렌지색의 타원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXa2J_Kd2y,,,
200810125,에스시탈정5밀리그램(에스시탈로프람옥살산염),(주)종근당,정신신경용제,ETC,필름코팅정,원형,하양,CKD,ES5,,흰색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700016,,,
200810314,발산정80밀리그램(발사르탄),유니메드제약(주),혈압강하제,ETC,필름코팅정,원형,분홍,V분할선A,UM,,엷은 적색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298763309300033,,,
200810338,가스리드정5mg(모사프리드시트르산염수화물),(주)유한양행,기타의 소화기관용약,ETC,필름코팅정,장방형,하양,YH,G분할선5,,분할선을 가진 흰색의 장방형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700025,,,
200810473,엑스반정80밀리그램(발사르탄),삼진제약(주),혈압강하제,ETC,필름코팅정,원형,분홍,SJ,V분할선8,,분홍색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665498867700136,,,
200810509,뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),고려제약(주),기타의 중추신경용약,ETC,스팬슐,장방형,하양,KDC NTC 8,,,흰색 내지 거의 흰색의 서방코팅된 펠렛이 들어있는 불투명한 상·하 흰색의 경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700079,,,
200810522,발트렙정160밀리그램(발사르탄),경동제약(주),혈압강하제,ETC,필름코팅정,타원형,주황,KD분할선VT,160,,회색빛을 띠는 오렌지색의 타원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700046,,,
